Numéro,Nom du joueur,Elo,Champion,Durée de la partie,Vrai temps,KDA,Gold total,Gold/min,Nombre de tours perdues,Nombre d'inibiteur perdus,Nombres de tours détruite,Nombre d'inibiteur détruit,Cs/min,Temps première mort,Temps numérique première mort,Qui a eu la première mort ? (1=lui),Temps,Temps numérique,Kill,Mort,CS,Nombre de perso à CC,Summoner 1,Summoner 2,Temps objets,Temps numérique objets,Objets,Hérald pris ?,Dragon,Source,CS_final
Game 1,Apatheia,Challenger,Zac,00:19:00,19,8.5,10443,550,9,2,1,0,8.842105263,00:12:01,12.02,1,"[00:00:00, 00:02:30, 00:05:00, 00:07:30, 00:10:00, 00:12:30, 00:15:00, 00:17:30, 00:19:00]","[0.00,2.50,5.00,7.50,10.00,12.50,15.00,17.50,19.00]","[0,0,2,3,6,8,13,17,17]","[0,0,0,0,0,1,1,1,2]","[0,10,36,56,76,99,103,133,168]",4,Flash,Ignite,"[00:04:50,00:09:42,00:15:54]","[4.83,9.70,15.90]","[""Botte"", ""1er item"", ""2nd item""]",0,0,https://www.youtube.com/watch?v=yGKMazk9zW8&list=PL4aZl1fLxWKyT0hfBxslaiDuNVSZdNVUA&index=36,168
Game 2,Kazewa,Challenger,Kennen,00:23:36,23.6,2.4,11633,493,10,2,0,0,5.974576271,00:05:15,5.25,1,"[00:00:00, 00:02:30, 00:05:00, 00:07:30, 00:10:00, 00:12:30, 00:15:00, 00:17:30, 00:20:00, 00:22:30, 00:23:23]","[0.00,2.50,5.00,7.50,10.00,12.50,15.00,17.50,20.00,22.50,23.38]","[0,0,1,4,6,7,8,13,15,17,19]","[0,0,0,1,1,3,4,5,6,7,8]","[0,7,17,30,50,69,82,102,115,140,141]",4,Flash,Ignite,"[00:10:37,00:08:30,00:18:18,00:20:52]","[10.62,8.50,18.30,20.87]","[""Botte"", ""1er item"", ""2nd item"", ""3ème item""]",0,0,https://www.youtube.com/watch?v=A0CCOY4Qryg&list=PL4aZl1fLxWKyT0hfBxslaiDuNVSZdNVUA&index=23,141
Game 3,Gaethan,Challenger,Lee sin,00:25:17,25.28333333,7,22411,886,9,1,3,1,11.90507581,00:05:35,5.58,1,"[00:00:00, 00:02:30, 00:05:00, 00:07:30, 00:10:00, 00:12:30, 00:15:00, 00:17:30, 00:22:30, 00:25:17]","[0.00,2.50,5.00,7.50,10.00,12.50,15.00,17.50,22.50,25.28]","[0,0,2,6,12,17,22,25,30,35]","[0,0,0,1,2,3,4,5,5,5]","[0,11,44,79,101,121,159,172,279,301]",4,TP,Ghost,"[00:09:17, 00:05:59, 00:09:17, 00:11:43, 00:18:00, 00:24:18]","[9.28,5.98,9.28,11.72,18.00,24.30]","[""Botte"", ""1er item"", ""2nd item"", ""3ème item"", ""4ème item"", ""5ème item""]",0,0,https://www.youtube.com/watch?v=CC7WM_fSius&list=PL4aZl1fLxWKyT0hfBxslaiDuNVSZdNVUA&index=19,301
Game 4,Strey,Challenger,Olaf,00:19:48,19.8,1.3,16095,457,10,2,0,0,9.444444444,00:05:59,5.98,0,"[00:00:00, 00:02:30, 00:05:00, 00:07:30, 00:10:00, 00:12:30, 00:15:00, 00:17:30, 00:19:48]","[0.00,2.50,5.00,7.50,10.00,12.50,15.00,17.50,19.80]","[0,0,0,0,3,6,7,8,8]","[0,0,0,1,2,3,4,5,6]","[0,10,32,54,69,87,150,167,187]",3,Ghost,TP,"[00:12:05,00:09:57,00:15:45]","[12.08,9.95,15.75]","[""Botte"", ""1er item"", ""2nd item""]",0,0,https://www.youtube.com/watch?v=YPaCbsCIvFA&list=PL4aZl1fLxWKyT0hfBxslaiDuNVSZdNVUA&index=6,187
Game 5,Toua,GM,Quinn,00:21:39,21.65,1.6,9944,459,10,2,0,0,8.822170901,00:07:36,7.6,1,"[00:00:00, 00:02:30, 00:05:00, 00:07:30, 00:10:00, 00:12:30, 00:15:00, 00:17:30, 00:20:00, 00:21:39]","[0.00,2.50,5.00,7.50,10.00,12.50,15.00,17.50,20.00,21.65]","[0, 0, 1, 1, 2, 3, 4, 6, 8, 8]","[0, 0, 0, 0, 1, 1, 2, 2, 4, 5]","[0, 9, 33, 59, 82, 111, 140, 164, 185, 191]",4,Flash,Ignite,"[00:07:52, 00:12:12, 00:17:28]","[7.87,12.20,17.47]","[""Botte"", ""1er item"", ""2nd item""]",0,0,https://www.youtube.com/watch?v=eyUVqAVVRrc,191
Game 6,Koala,Challenger,Irelia,00:27:21,27.35,7.2,22832,835,11,3,2,0,15.35648995,00:03:33,3.55,0,"[00:00:00, 00:02:30, 00:05:00, 00:07:30, 00:10:00, 00:12:30, 00:15:00, 00:17:30, 00:20:00, 00:22:30,00:25:00,00:27:21]","[0.00,2.50,5.00,7.50,10.00,12.50,15.00,17.50,20.00,22.50,25.00,27.35]","[0, 1, 5, 7, 12, 15, 18, 24, 29, 32, 34, 36]","[0, 0, 1, 2, 2, 2, 3, 4, 4, 4, 4, 5]","[0, 12, 43, 65, 116, 151, 171, 216, 265, 316, 381, 420]",4,Flash,TP,"[00:16:17, 00:07:49, 00:10:54, 00:13:54, 00:18:57, 00:21:37]","[16.28,7.82,10.90,13.90,18.95,21.62]","[""Botte"", ""1er item"", ""2nd item"", ""3ème item"", ""4ème item"", ""5ème item""]",0,0,https://www.youtube.com/watch?v=nefOk2O7VKg,420
Game 7,Charles,Challenger,Quinn,00:18:20,18.33333333,1.1,8459,461,9,2,0,0,7.581818182,00:02:49,2.82,1,"[00:00:00, 00:02:30, 00:05:00, 00:07:30, 00:10:00, 00:12:30, 00:15:00, 00:17:30,00:18:20]","[0.00,2.50,5.00,7.50,10.00,12.50,15.00,17.50,18.33]","[0, 0, 2, 2, 2, 4, 5, 7, 8]","[0,0,0,1,2,3,5,6,7]","[0,10,34,48,76,98,123,139,139]",5,Flash,Ignite,"[00:06:01,00:11:43,00:16:59]","[6.02,11.72,16.98]","[""Botte"", ""1er item"", ""2nd item""]",0,0,https://www.youtube.com/watch?v=KOtkr3nVXWA&list=PLg9Rno9Ks-fPMNRjuxAt9YbFAL8--NEij&index=93,139
Game 8,Charles,Challenger,Teemo,00:22:34,22.56666667,,9801,434,11,3,0,0,7.710487445,00:04:09,4.15,0,"[00:00:00, 00:02:30, 00:05:00, 00:07:30, 00:10:00, 00:12:30, 00:15:00, 00:17:30, 00:20:00, 00:22:34]","[0.00,2.50,5.00,7.50,10.00,12.50,15.00,17.50,20.00,22.57]","[0,0,0,1,2,2,5,6,9,9]","[0,0,1,2,2,3,4,6,7,8]","[0,9,35,57,71,86,101,121,143,174]",3,Flash,TP,"[00:14:05, 00:09:54, 00:18:29,00:20:29]","[14.08,9.90,18.48,20.48]","[""Botte"", ""1er item"", ""2nd item"", ""3ème item""]",0,0,https://www.youtube.com/watch?v=1Do0r3UjFIo&list=PLg9Rno9Ks-fPMNRjuxAt9YbFAL8--NEij&index=92,174
Game 9 (DONNEES INCOMPLETES),Raiko,Challenger,Katarina,00:31:02,31.03333333,,,,11,3,0,2,10.50483351,00:04:13,4.22,0,"[00:00:00, 00:02:30, 00:05:00, 00:07:30, 00:10:00, 00:12:30, 00:15:00, 00:17:30, 00:20:00, 00:31:02]","[0, 2.5,  5, 7.5, 10, 12.5, 15, 17.5, 20, 31.03333333]","[0,0,0,2,3,11,16,21,26,36]","[0,0,0,2,3,3,4,4,5,6]","[0,5,28,48,69,91,122,149,168,326]",5,Flash,TP,"[00:11:27, 00:09:25, 00:12:56, 00:18:05, 00:19:53, 00:22:54]","[11.45,9.42,12.93,18.08,19.88,22.90]","[""Botte"", ""1er item"", ""2nd item"", ""3ème item"", ""4ème item"", ""5ème item""]",0,1,https://www.youtube.com/watch?v=EV2ebqs4--w&list=PL4aZl1fLxWKyT0hfBxslaiDuNVSZdNVUA&index=40,326
Game 10 (DONNEES INCOMPLETES),Frappii,Challenger,Draven,00:29:12,29.2,,,,11,3,1,0,9.760273973,00:09:05,9.08,1,"[00:00:00, 00:02:30, 00:05:00, 00:07:30, 00:10:00, 00:12:30, 00:15:00, 00:17:30, 00:20:00, 00:22:30, 00:25:00, 00:27:30, 00:29:12]","[0,2.5,5,7.5,10,12.5,15,17.5,20,22.5,25,27.5,29.2]","[0,0,0,1,2,6,11,12,13,16,20,24,24]","[0,0,0,0,1,1,1,2,3,3,3,3,4]","[0,12,38,58,78,99,130,153,166,202,237,280,285]",,Flash,TP,"[00:12:15, 00:09:08, 00:14:30, 00:18:25, 00:23:00: 00:24:59]","[12.25,9.13,14.50,18.42,23.00,24.98]","[""Botte"", ""1er item"", ""2nd item"", ""3ème item"", ""4ème item"", ""5ème item""]",0,0,https://www.youtube.com/watch?v=UPK4--K_HXs&list=PL4aZl1fLxWKyT0hfBxslaiDuNVSZdNVUA&index=33,285
